"State","Date","Latitude","Longitude","Pollutant","Unit","Mean"
"Alabama","2021-01",32.412811,-86.263394,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",8
"Alabama","2021-01",33.499722,-86.924167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",15.3548387096774
"Alabama","2021-01",33.545278,-86.549167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",12
"Alabama","2021-01",33.553056,-86.815,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",18.4193548387097
"Alabama","2021-01",33.565278,-86.796389,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",23.8064516129032
"Alabama","2021-01",33.578333,-86.773889,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",18.8064516129032
"Alabama","2021-01",34.620369,-86.566381,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",9.2
"Alabama","2021-01",34.68547,-86.58816,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",13.1
"Alabama","2021-01",34.728831,-86.585003,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",10.8823529411765
"Alabama","2021-01",34.788423,-86.616105,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",11
"Alabama","2021-02",32.412811,-86.263394,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",9.6
"Alabama","2021-02",33.499722,-86.924167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",14.7142857142857
"Alabama","2021-02",33.545278,-86.549167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",12.25
"Alabama","2021-02",33.553056,-86.815,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",20
"Alabama","2021-02",33.565278,-86.796389,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",23.9285714285714
"Alabama","2021-02",33.578333,-86.773889,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",18.0714285714286
"Alabama","2021-02",34.620369,-86.566381,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",8.4
"Alabama","2021-02",34.68547,-86.58816,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",12.8888888888889
"Alabama","2021-02",34.728831,-86.585003,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",10.8823529411765
"Alabama","2021-02",34.788423,-86.616105,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",9
"Alabama","2021-03",32.412811,-86.263394,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",15.4
"Alabama","2021-03",33.499722,-86.924167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",19.8064516129032
"Alabama","2021-03",33.545278,-86.549167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",19.5
"Alabama","2021-03",33.553056,-86.815,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",23.1666666666667
"Alabama","2021-03",33.565278,-86.796389,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",34.1612903225806
"Alabama","2021-03",33.578333,-86.773889,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",22.1724137931034
"Alabama","2021-03",34.620369,-86.566381,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",10.4
"Alabama","2021-03",34.68547,-86.58816,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",17.875
"Alabama","2021-03",34.728831,-86.585003,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",14
"Alabama","2021-03",34.788423,-86.616105,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",10
"Alabama","2021-04",32.412811,-86.263394,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",13.1
"Alabama","2021-04",33.499722,-86.924167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",19.8666666666667
"Alabama","2021-04",33.545278,-86.549167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",14.5
"Alabama","2021-04",33.553056,-86.815,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",25.5333333333333
"Alabama","2021-04",33.565278,-86.796389,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",26.1153846153846
"Alabama","2021-04",33.578333,-86.773889,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",24.4333333333333
"Alabama","2021-04",34.620369,-86.566381,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",12.25
"Alabama","2021-04",34.68547,-86.58816,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",16.7
"Alabama","2021-04",34.728831,-86.585003,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",18.5714285714286
"Alabama","2021-04",34.788423,-86.616105,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",16.2
"Alabama","2021-05",32.412811,-86.263394,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",12
"Alabama","2021-05",33.499722,-86.924167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",16
"Alabama","2021-05",33.545278,-86.549167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",13.9
"Alabama","2021-05",33.553056,-86.815,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",20.9
"Alabama","2021-05",33.565278,-86.796389,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",17.7741935483871
"Alabama","2021-05",33.578333,-86.773889,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",18.0645161290323
"Alabama","2021-05",34.620369,-86.566381,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",12.8
"Alabama","2021-05",34.68547,-86.58816,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",11.8333333333333
"Alabama","2021-05",34.728831,-86.585003,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",15.4210526315789
"Alabama","2021-05",34.788423,-86.616105,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",12.2
"Alabama","2021-06",32.412811,-86.263394,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",12.1
"Alabama","2021-06",33.499722,-86.924167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",18.4285714285714
"Alabama","2021-06",33.545278,-86.549167,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",13.6
"Alabama","2021-06",33.553056,-86.815,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",20.4666666666667
"Alabama","2021-06",33.565278,-86.796389,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",18.9666666666667
"Alabama","2021-06",33.578333,-86.773889,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",18.2857142857143
"Alabama","2021-06",34.620369,-86.566381,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",10.3333333333333
"Alabama","2021-06",34.68547,-86.58816,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",11.4
"Alabama","2021-06",34.728831,-86.585003,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)",13.6666666666667
