"PCODE","FUEL","YEAR","CAPACITY","PNAME","STATE","LAT","LONG"
116,"SUN","2001",0.4,"Ocotillo","AZ",33.4225,-111.9122
141,"SUN","2001",0.2,"Agua Fria","AZ",33.5561,-112.2153
529,"SUN","2001",2,"Solar","CA",38.340015,-121.113861
692,"WND","2001",6.2,"Medicine Bow","WY",42.2572,-105.9181
3548,"SUN","2001",0.3,"Decker Creek","TX",30.3033,-97.6128
7366,"WND","2001",9.2,"Lincoln Turbines","WI",44.6108,-87.5586
7381,"WND","2001",6,"Searsburg Wind Turb","VT",42.8625,-72.9628
7501,"WND","2001",0,"Richard F Wheeler","MA",42.4789,-71.9
7526,"WND","2001",6.8,"Solano Wind","CA",38.1183,-121.8653
7724,"SUN","2001",1,"Fort Davis","TX",NA,NA
7769,"WND","2001",2.2,"Lalamilo Windfarm","HI",20.023333,-155.746667
7771,"WND","2001",1.4,"Springview","NE",42.825556,-93.776944
7855,"WND","2001",1.4,"Wind Turbine","MN",46.895,-96.7347
7859,"WND","2001",1.4,"Northwest Wind","IA",NA,NA
7882,"WND","2001",1.2,"Glenmore Turbines","WI",44.3556,-87.9839
7886,"WND","2001",11,"Wind Turbine","WI",44.6694,-87.6333
7887,"WND","2001",1.4,"Salt Valley","NE",40.909653,-96.613086
7901,"WND","2001",1.2,"Byron","WI",43.6575,-88.4381
7927,"WND","2001",1.8,"Buffalo Mountain","TN",36.0444,-84.3444
7937,"WND","2001",16,"Ponnequin","CO",40.8414,-104.8764
7965,"WND","2001",1.2,"Salt Valley","NE",40.9044,-96.6231
7966,"WND","2001",2.1,"IDWGP","IA",43.0661,-94.2306
7974,"WND","2001",2.6,"Chamberlain Wind Project","SD",43.8108,-99.3303
10005,"WND","2001",17.4,"Dinosaur Point","CA",37.0478,-121.1708
10027,"WND","2001",25.4,"EUIPH Wind Farm","CA",33.9447,-116.6222
10191,"WND","2001",8.7,"Tehachapi Wind Resource I","CA",35.0606,-118.1061
10437,"SUN","2001",13.8,"SEGS I","CA",34.8621,-116.8281
10438,"SUN","2001",30,"SEGS II","CA",34.8659,-116.8251
10439,"SUN","2001",30,"SEGS III","CA",35.00694,-117.555768
10440,"SUN","2001",30,"SEGS IV","CA",35.012166,-117.555672
10441,"SUN","2001",30,"SEGS V","CA",35.01948,-117.55553
10442,"SUN","2001",30,"SEGS VI","CA",35.020981,-117.566079
10443,"SUN","2001",30,"SEGS VII","CA",35.014836,-117.565903
10444,"SUN","2001",108.2,"SEGS VIII","CA",35.0308,-117.3563
10446,"SUN","2001",108.2,"SEGS IX","CA",35.033,-117.338
10581,"WND","2001",28.7,"Altamont Power LLC","CA",NA,NA
10586,"WND","2001",57,"Cameron Ridge","CA",35.075,-118.3158
10597,"WND","2001",60.4,"Ridgetop Energy LLC","CA",35.0697,-118.3167
10738,"WND","2001",13,"Northwind Energy Inc","CA",37.8453,-121.7272
10815,"WND","2001",24,"Difwind Farms Ltd VII","CA",37.7581,-121.5253
50001,"WND","2001",10.9,"Altamont Midway Ltd","CA",37.7392,-121.4322
50276,"WND","2001",16.2,"Wintec Energy Ltd","CA",33.9131,-116.5631
50281,"WND","2001",34,"San Gorgonio Farms Wind Energy","CA",33.926111,-116.615
50386,"WND","2001",16,"Windland Inc","CA",35.0522,-118.3581
50485,"WND","2001",25.1,"Altech III","CA",33.9603,-116.5364
50532,"WND","2001",28.6,"Victory Garden","CA",35.0686,-118.3833
50533,"WND","2001",19.1,"Painted Hills Wind Developers","CA",33.9369,-116.6183
50534,"WND","2001",18,"Santa Clara","CA",37.7494,-121.6647
50535,"WND","2001",19.5,"Mesa Wind Developers (ZPI)","CA",33.9461,-116.6769
50536,"WND","2001",76.9,"Sky River Partnership","CA",35.2608,-118.2469
50552,"WND","2001",39.7,"Cabazon Wind Farm","CA",33.9189,-116.7219
50553,"WND","2001",11,"Edom Hill","CA",33.9617,-116.5364
50690,"WND","2001",43.4,"San Gorgonio Westwinds II LLC","CA",33.934,-116.5781
